"","income","age","marital_status","hours_per_week","education","capital_gain","capital_loss","income_num","career_stage","marital_status_group","hours_group","education_group","has_investment_activity"
"5013",">50K",48,"Married-civ-spouse",40,"Masters",0,0,"1","Peak-earning","Married","Full-time","Masters","No"
"5014",">50K",56,"Divorced",40,"Some-college",0,0,"1","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5020","<=50K",18,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5026",">50K",59,"Married-civ-spouse",40,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"5030","<=50K",29,"Never-married",30,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5033",">50K",42,"Married-civ-spouse",50,"Prof-school",0,1977,"1","Growth-phase","Married","Overtime","Prof-doctorate","Yes"
"5036","<=50K",27,"Married-civ-spouse",25,"Assoc-acdm",0,0,"0","Entry-level","Married","Underemployed","HS-some-college","No"
"5038","<=50K",55,"Married-civ-spouse",45,"Assoc-voc",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5042","<=50K",25,"Divorced",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"5044",">50K",55,"Married-civ-spouse",40,"Masters",0,1977,"1","Peak-earning","Married","Full-time","Masters","Yes"
"5047","<=50K",26,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5059","<=50K",42,"Divorced",30,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5062",">50K",62,"Married-civ-spouse",45,"HS-grad",0,0,"1","Retirement-transition","Married","Full-time","HS-some-college","No"
"5064","<=50K",18,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5091","<=50K",35,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5092","<=50K",38,"Divorced",58,"Some-college",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"5094","<=50K",33,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5103","<=50K",54,"Married-civ-spouse",60,"HS-grad",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"5105","<=50K",33,"Married-spouse-absent",20,"Assoc-acdm",0,0,"0","Growth-phase","Previously-married","Underemployed","HS-some-college","No"
"5113","<=50K",59,"Widowed",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5116","<=50K",34,"Married-civ-spouse",40,"9th",0,0,"0","Growth-phase","Married","Full-time","Non-HS","No"
"5117","<=50K",22,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"5121",">50K",50,"Married-civ-spouse",40,"HS-grad",3103,0,"1","Peak-earning","Married","Full-time","HS-some-college","Yes"
"5123","<=50K",28,"Married-civ-spouse",55,"Masters",0,1902,"0","Entry-level","Married","Overtime","Masters","Yes"
"5124","<=50K",18,"Never-married",24,"12th",0,0,"0","Entry-level","Never-married","Underemployed","Non-HS","No"
"5136","<=50K",25,"Never-married",20,"Assoc-acdm",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5141","<=50K",58,"Never-married",40,"HS-grad",0,0,"0","Peak-earning","Never-married","Full-time","HS-some-college","No"
"5151","<=50K",51,"Divorced",50,"Some-college",0,0,"0","Peak-earning","Previously-married","Overtime","HS-some-college","No"
"5160",">50K",42,"Married-civ-spouse",45,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"5163","<=50K",27,"Never-married",40,"Masters",0,0,"0","Entry-level","Never-married","Full-time","Masters","No"
"5172",">50K",32,"Married-civ-spouse",2,"HS-grad",0,0,"1","Growth-phase","Married","Underemployed","HS-some-college","No"
"5185","<=50K",21,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5187","<=50K",66,"Widowed",35,"Assoc-voc",0,0,"0","Retirement-transition","Previously-married","Full-time","HS-some-college","No"
"5189","<=50K",51,"Married-civ-spouse",38,"HS-grad",3411,0,"0","Peak-earning","Married","Full-time","HS-some-college","Yes"
"5195","<=50K",43,"Divorced",40,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5212","<=50K",34,"Never-married",50,"Assoc-voc",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"5227",">50K",50,"Married-civ-spouse",40,"HS-grad",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"5239","<=50K",52,"Never-married",35,"Some-college",0,0,"0","Peak-earning","Never-married","Full-time","HS-some-college","No"
"5242","<=50K",35,"Married-civ-spouse",80,"Some-college",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"5243","<=50K",50,"Separated",40,"Assoc-voc",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5245","<=50K",48,"Divorced",45,"Bachelors",0,0,"0","Peak-earning","Previously-married","Full-time","Bachelors","No"
"5247","<=50K",18,"Never-married",12,"11th",0,0,"0","Entry-level","Never-married","Underemployed","Non-HS","No"
"5252","<=50K",24,"Never-married",42,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5253","<=50K",30,"Never-married",40,"Assoc-acdm",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5266","<=50K",23,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5299","<=50K",53,"Married-civ-spouse",45,"Some-college",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5300","<=50K",41,"Divorced",55,"HS-grad",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"5301",">50K",57,"Married-civ-spouse",40,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"5311",">50K",36,"Never-married",40,"Doctorate",0,0,"1","Growth-phase","Never-married","Full-time","Prof-doctorate","No"
"5313","<=50K",25,"Never-married",20,"Bachelors",0,0,"0","Entry-level","Never-married","Underemployed","Bachelors","No"
"5314","<=50K",42,"Married-civ-spouse",60,"HS-grad",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"5319","<=50K",49,"Married-civ-spouse",40,"Bachelors",0,0,"0","Peak-earning","Married","Full-time","Bachelors","No"
"5320","<=50K",28,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5323","<=50K",31,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"5324","<=50K",40,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5334","<=50K",49,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5338","<=50K",28,"Divorced",40,"Assoc-acdm",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"5358",">50K",33,"Married-civ-spouse",48,"HS-grad",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"5359","<=50K",54,"Never-married",40,"Some-college",0,0,"0","Peak-earning","Never-married","Full-time","HS-some-college","No"
"5362","<=50K",60,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5367","<=50K",17,"Never-married",20,"10th",0,0,"0","Entry-level","Never-married","Underemployed","Non-HS","No"
"5370",">50K",90,"Married-civ-spouse",60,"Masters",20051,0,"1","Retirement-transition","Married","Overtime","Masters","Yes"
"5381","<=50K",26,"Never-married",20,"Bachelors",0,0,"0","Entry-level","Never-married","Underemployed","Bachelors","No"
"5383","<=50K",20,"Never-married",30,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5389","<=50K",42,"Married-civ-spouse",12,"HS-grad",0,0,"0","Growth-phase","Married","Underemployed","HS-some-college","No"
"5390","<=50K",31,"Divorced",21,"12th",0,0,"0","Growth-phase","Previously-married","Underemployed","Non-HS","No"
"5393","<=50K",29,"Never-married",64,"Assoc-voc",0,1590,"0","Entry-level","Never-married","Overtime","HS-some-college","Yes"
"5398","<=50K",35,"Divorced",45,"9th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"5422","<=50K",39,"Never-married",63,"Bachelors",0,0,"0","Growth-phase","Never-married","Overtime","Bachelors","No"
"5426","<=50K",39,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"5427","<=50K",29,"Married-civ-spouse",36,"Masters",0,0,"0","Entry-level","Married","Full-time","Masters","No"
"5429",">50K",53,"Divorced",43,"Bachelors",13550,0,"1","Peak-earning","Previously-married","Full-time","Bachelors","Yes"
"5430","<=50K",46,"Married-civ-spouse",42,"Assoc-voc",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5435","<=50K",52,"Married-spouse-absent",30,"9th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"5436",">50K",39,"Never-married",40,"Bachelors",0,0,"1","Growth-phase","Never-married","Full-time","Bachelors","No"
"5439","<=50K",33,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5441","<=50K",46,"Married-civ-spouse",45,"5th-6th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"5443","<=50K",33,"Married-civ-spouse",50,"HS-grad",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"5445","<=50K",32,"Divorced",50,"HS-grad",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"5448","<=50K",35,"Never-married",60,"HS-grad",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"5458",">50K",33,"Married-civ-spouse",40,"Masters",0,0,"1","Growth-phase","Married","Full-time","Masters","No"
"5459","<=50K",36,"Never-married",55,"Bachelors",0,0,"0","Growth-phase","Never-married","Overtime","Bachelors","No"
"5462",">50K",39,"Married-civ-spouse",55,"Bachelors",7298,0,"1","Growth-phase","Married","Overtime","Bachelors","Yes"
"5463","<=50K",53,"Married-spouse-absent",40,"10th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"5466","<=50K",22,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5482","<=50K",22,"Never-married",40,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"5485","<=50K",35,"Divorced",50,"10th",0,0,"0","Growth-phase","Previously-married","Overtime","Non-HS","No"
"5489","<=50K",41,"Divorced",80,"Some-college",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"5501","<=50K",60,"Divorced",40,"Masters",0,0,"0","Peak-earning","Previously-married","Full-time","Masters","No"
"5507",">50K",25,"Married-civ-spouse",80,"HS-grad",0,0,"1","Entry-level","Married","Overtime","HS-some-college","No"
"5512","<=50K",20,"Never-married",25,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5523",">50K",39,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"5527","<=50K",37,"Separated",40,"5th-6th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"5537",">50K",44,"Married-civ-spouse",60,"Masters",0,0,"1","Growth-phase","Married","Overtime","Masters","No"
"5541","<=50K",33,"Never-married",40,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"5548","<=50K",57,"Separated",30,"10th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"5552","<=50K",35,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"5556","<=50K",19,"Never-married",20,"HS-grad",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5558","<=50K",38,"Married-civ-spouse",44,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"5560",">50K",27,"Married-civ-spouse",40,"Some-college",0,0,"1","Entry-level","Married","Full-time","HS-some-college","No"
"5561","<=50K",64,"Widowed",40,"7th-8th",0,0,"0","Retirement-transition","Previously-married","Full-time","Non-HS","No"
"5575","<=50K",58,"Married-civ-spouse",35,"Some-college",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5581",">50K",44,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"5590","<=50K",78,"Widowed",1,"HS-grad",0,0,"0","Retirement-transition","Previously-married","Underemployed","HS-some-college","No"
"5593",">50K",29,"Married-civ-spouse",40,"Masters",0,0,"1","Entry-level","Married","Full-time","Masters","No"
"5594","<=50K",66,"Never-married",3,"HS-grad",0,0,"0","Retirement-transition","Never-married","Underemployed","HS-some-college","No"
"5595",">50K",60,"Married-civ-spouse",45,"HS-grad",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"5598","<=50K",24,"Never-married",45,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5599",">50K",29,"Never-married",50,"Bachelors",0,0,"1","Entry-level","Never-married","Overtime","Bachelors","No"
"5604","<=50K",23,"Never-married",40,"11th",0,0,"0","Entry-level","Never-married","Full-time","Non-HS","No"
"5612",">50K",53,"Married-civ-spouse",50,"Doctorate",0,0,"1","Peak-earning","Married","Overtime","Prof-doctorate","No"
"5614",">50K",35,"Never-married",50,"Masters",0,0,"1","Growth-phase","Never-married","Overtime","Masters","No"
"5619","<=50K",32,"Married-civ-spouse",25,"HS-grad",0,0,"0","Growth-phase","Married","Underemployed","HS-some-college","No"
"5620",">50K",49,"Married-civ-spouse",50,"Some-college",0,0,"1","Peak-earning","Married","Overtime","HS-some-college","No"
"5622","<=50K",36,"Divorced",36,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5625",">50K",54,"Married-civ-spouse",40,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"5629","<=50K",46,"Married-civ-spouse",40,"Some-college",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5641","<=50K",40,"Married-civ-spouse",30,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"5644","<=50K",48,"Divorced",38,"10th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"5670","<=50K",30,"Never-married",50,"Bachelors",0,0,"0","Entry-level","Never-married","Overtime","Bachelors","No"
"5672",">50K",30,"Never-married",50,"Some-college",0,0,"1","Entry-level","Never-married","Overtime","HS-some-college","No"
"5673","<=50K",35,"Married-civ-spouse",40,"Masters",0,0,"0","Growth-phase","Married","Full-time","Masters","No"
"5681","<=50K",60,"Married-civ-spouse",40,"9th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"5682",">50K",55,"Married-civ-spouse",80,"Doctorate",0,0,"1","Peak-earning","Married","Overtime","Prof-doctorate","No"
"5686","<=50K",69,"Widowed",38,"Some-college",0,810,"0","Retirement-transition","Previously-married","Full-time","HS-some-college","Yes"
"5692","<=50K",31,"Never-married",35,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"5695","<=50K",63,"Divorced",60,"Some-college",0,0,"0","Retirement-transition","Previously-married","Overtime","HS-some-college","No"
"5699","<=50K",23,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5704","<=50K",30,"Divorced",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"5706","<=50K",31,"Never-married",50,"Some-college",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"5707","<=50K",44,"Married-civ-spouse",35,"Masters",0,0,"0","Growth-phase","Married","Full-time","Masters","No"
"5711",">50K",43,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"5722","<=50K",27,"Never-married",40,"Assoc-acdm",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5725","<=50K",32,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"5726","<=50K",20,"Separated",40,"HS-grad",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"5729","<=50K",46,"Divorced",45,"Assoc-voc",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5732","<=50K",22,"Never-married",10,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5740","<=50K",31,"Married-civ-spouse",55,"Some-college",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"5745","<=50K",27,"Married-civ-spouse",48,"Some-college",0,0,"0","Entry-level","Married","Overtime","HS-some-college","No"
"5747",">50K",56,"Married-civ-spouse",40,"Bachelors",7688,0,"1","Peak-earning","Married","Full-time","Bachelors","Yes"
"5748",">50K",41,"Married-civ-spouse",60,"Some-college",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"5754",">50K",48,"Married-civ-spouse",45,"Bachelors",0,0,"1","Peak-earning","Married","Full-time","Bachelors","No"
"5755",">50K",56,"Married-civ-spouse",40,"HS-grad",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"5759","<=50K",46,"Divorced",36,"Assoc-voc",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5770","<=50K",24,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5773","<=50K",52,"Married-civ-spouse",40,"Some-college",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5777","<=50K",26,"Married-civ-spouse",40,"Some-college",0,2051,"0","Entry-level","Married","Full-time","HS-some-college","Yes"
"5786","<=50K",43,"Married-civ-spouse",42,"10th",0,0,"0","Growth-phase","Married","Full-time","Non-HS","No"
"5787","<=50K",52,"Divorced",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5788","<=50K",27,"Divorced",40,"Some-college",0,0,"0","Entry-level","Previously-married","Full-time","HS-some-college","No"
"5800","<=50K",19,"Divorced",40,"10th",0,0,"0","Entry-level","Previously-married","Full-time","Non-HS","No"
"5804","<=50K",23,"Never-married",35,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5808","<=50K",76,"Married-civ-spouse",1,"10th",0,0,"0","Retirement-transition","Married","Underemployed","Non-HS","No"
"5814","<=50K",34,"Separated",45,"Some-college",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"5819","<=50K",45,"Widowed",45,"Some-college",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5821",">50K",53,"Married-civ-spouse",40,"Assoc-acdm",0,0,"1","Peak-earning","Married","Full-time","HS-some-college","No"
"5822",">50K",35,"Married-civ-spouse",50,"Masters",15024,0,"1","Growth-phase","Married","Overtime","Masters","Yes"
"5823","<=50K",38,"Married-civ-spouse",70,"HS-grad",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"5825","<=50K",49,"Divorced",70,"10th",0,0,"0","Peak-earning","Previously-married","Overtime","Non-HS","No"
"5830","<=50K",60,"Widowed",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"5833","<=50K",26,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5838","<=50K",19,"Never-married",30,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5847","<=50K",39,"Divorced",40,"HS-grad",2174,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","Yes"
"5849","<=50K",19,"Never-married",24,"Some-college",0,1602,"0","Entry-level","Never-married","Underemployed","HS-some-college","Yes"
"5853","<=50K",25,"Separated",20,"Some-college",0,0,"0","Entry-level","Previously-married","Underemployed","HS-some-college","No"
"5854","<=50K",40,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"5859","<=50K",20,"Never-married",40,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5864","<=50K",48,"Divorced",53,"Some-college",3325,0,"0","Peak-earning","Previously-married","Overtime","HS-some-college","Yes"
"5871",">50K",34,"Married-civ-spouse",38,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"5874","<=50K",59,"Divorced",40,"Some-college",2907,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","Yes"
"5878","<=50K",28,"Never-married",30,"HS-grad",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5882",">50K",36,"Married-civ-spouse",45,"Masters",15024,0,"1","Growth-phase","Married","Full-time","Masters","Yes"
"5893","<=50K",32,"Never-married",40,"Some-college",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"5895","<=50K",26,"Never-married",50,"Bachelors",0,0,"0","Entry-level","Never-married","Overtime","Bachelors","No"
"5896","<=50K",20,"Never-married",15,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5897","<=50K",19,"Never-married",30,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5903","<=50K",63,"Married-civ-spouse",20,"HS-grad",0,0,"0","Retirement-transition","Married","Underemployed","HS-some-college","No"
"5904","<=50K",34,"Married-civ-spouse",40,"HS-grad",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"5908","<=50K",27,"Married-civ-spouse",40,"Assoc-voc",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"5922","<=50K",33,"Married-civ-spouse",60,"HS-grad",0,0,"0","Growth-phase","Married","Overtime","HS-some-college","No"
"5927","<=50K",22,"Never-married",30,"Some-college",0,1719,"0","Entry-level","Never-married","Full-time","HS-some-college","Yes"
"5931",">50K",41,"Married-civ-spouse",32,"Some-college",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"5941",">50K",37,"Married-civ-spouse",30,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"5949","<=50K",24,"Never-married",20,"Some-college",0,0,"0","Entry-level","Never-married","Underemployed","HS-some-college","No"
"5952","<=50K",27,"Never-married",45,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"5954","<=50K",29,"Never-married",40,"Some-college",0,0,"0","Entry-level","Never-married","Full-time","HS-some-college","No"
"5956","<=50K",51,"Married-civ-spouse",40,"HS-grad",0,0,"0","Peak-earning","Married","Full-time","HS-some-college","No"
"5958","<=50K",59,"Married-civ-spouse",40,"1st-4th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"5964","<=50K",34,"Separated",50,"HS-grad",0,0,"0","Growth-phase","Previously-married","Overtime","HS-some-college","No"
"5972","<=50K",42,"Married-civ-spouse",16,"HS-grad",0,0,"0","Growth-phase","Married","Underemployed","HS-some-college","No"
"5975","<=50K",62,"Married-civ-spouse",24,"5th-6th",0,0,"0","Retirement-transition","Married","Underemployed","Non-HS","No"
"5979",">50K",37,"Never-married",50,"10th",0,2559,"1","Growth-phase","Never-married","Overtime","Non-HS","Yes"
"5987","<=50K",37,"Divorced",40,"10th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"6005",">50K",41,"Married-civ-spouse",40,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"6012","<=50K",28,"Never-married",45,"Bachelors",0,0,"0","Entry-level","Never-married","Full-time","Bachelors","No"
"6013","<=50K",31,"Divorced",40,"Assoc-voc",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"6015","<=50K",67,"Widowed",15,"HS-grad",2329,0,"0","Retirement-transition","Previously-married","Underemployed","HS-some-college","Yes"
"6016",">50K",65,"Married-civ-spouse",40,"HS-grad",9386,0,"1","Retirement-transition","Married","Full-time","HS-some-college","Yes"
"6017",">50K",39,"Married-civ-spouse",50,"HS-grad",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"6021","<=50K",47,"Widowed",35,"Some-college",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"6030",">50K",55,"Married-civ-spouse",50,"HS-grad",0,0,"1","Peak-earning","Married","Overtime","HS-some-college","No"
"6032",">50K",34,"Never-married",60,"Assoc-acdm",8614,0,"1","Growth-phase","Never-married","Overtime","HS-some-college","Yes"
"6033","<=50K",41,"Married-civ-spouse",40,"Bachelors",0,0,"0","Growth-phase","Married","Full-time","Bachelors","No"
"6036",">50K",40,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"6042",">50K",43,"Married-civ-spouse",68,"HS-grad",0,0,"1","Growth-phase","Married","Overtime","HS-some-college","No"
"6056","<=50K",42,"Divorced",42,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"6057","<=50K",37,"Married-spouse-absent",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"6059","<=50K",35,"Divorced",16,"10th",0,0,"0","Growth-phase","Previously-married","Underemployed","Non-HS","No"
"6069","<=50K",37,"Never-married",50,"HS-grad",0,0,"0","Growth-phase","Never-married","Overtime","HS-some-college","No"
"6070","<=50K",48,"Married-civ-spouse",98,"HS-grad",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"6071","<=50K",57,"Married-civ-spouse",8,"10th",0,0,"0","Peak-earning","Married","Underemployed","Non-HS","No"
"6085","<=50K",56,"Married-civ-spouse",40,"9th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
"6089","<=50K",34,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"6090","<=50K",34,"Divorced",40,"9th",0,0,"0","Growth-phase","Previously-married","Full-time","Non-HS","No"
"6095","<=50K",31,"Divorced",40,"HS-grad",0,0,"0","Growth-phase","Previously-married","Full-time","HS-some-college","No"
"6102","<=50K",18,"Never-married",30,"11th",0,0,"0","Entry-level","Never-married","Full-time","Non-HS","No"
"6103","<=50K",41,"Married-civ-spouse",40,"Some-college",0,0,"0","Growth-phase","Married","Full-time","HS-some-college","No"
"6104","<=50K",57,"Widowed",40,"10th",0,0,"0","Peak-earning","Previously-married","Full-time","Non-HS","No"
"6105",">50K",37,"Married-civ-spouse",40,"HS-grad",0,0,"1","Growth-phase","Married","Full-time","HS-some-college","No"
"6107","<=50K",39,"Never-married",38,"HS-grad",0,0,"0","Growth-phase","Never-married","Full-time","HS-some-college","No"
"6111",">50K",39,"Married-civ-spouse",40,"Masters",0,0,"1","Growth-phase","Married","Full-time","Masters","No"
"6113","<=50K",26,"Never-married",30,"Prof-school",0,0,"0","Entry-level","Never-married","Full-time","Prof-doctorate","No"
"6114","<=50K",57,"Married-civ-spouse",50,"HS-grad",0,0,"0","Peak-earning","Married","Overtime","HS-some-college","No"
"6120",">50K",48,"Married-spouse-absent",50,"Masters",10520,0,"1","Peak-earning","Previously-married","Overtime","Masters","Yes"
"6123","<=50K",56,"Widowed",40,"HS-grad",0,0,"0","Peak-earning","Previously-married","Full-time","HS-some-college","No"
"6129","<=50K",63,"Married-civ-spouse",40,"Some-college",0,0,"0","Retirement-transition","Married","Full-time","HS-some-college","No"
"6135",">50K",32,"Married-civ-spouse",40,"Bachelors",0,0,"1","Growth-phase","Married","Full-time","Bachelors","No"
"6139","<=50K",30,"Married-civ-spouse",40,"Some-college",0,0,"0","Entry-level","Married","Full-time","HS-some-college","No"
"6142","<=50K",59,"Married-civ-spouse",40,"9th",0,0,"0","Peak-earning","Married","Full-time","Non-HS","No"
